Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670003,700000.0,108100.0,59400.0,148800.0,9200.0
670005,780000.0,146400.0,90800.0,48400.0,500.0
670007,1320000.0,238400.0,206400.0,73700.0,-100.0
670009,2460000.0,233100.0,312200.0,58300.0,-100.0
670011,2340000.0,260800.0,218100.0,163600.0,100.0
670013,2240000.0,358100.0,128100.0,128900.0,-500.0
670015,1030000.0,160900.0,101400.0,300100.0,100.0
670017,1380000.0,302600.0,206500.0,193300.0,-100.0
670019,830000.0,202000.0,88700.0,62100.0,500.0
670021,1320000.0,393600.0,241000.0,135300.0,0.0
670023,1050000.0,248600.0,79800.0,168600.0,-200.0
670025,1780000.0,435400.0,275300.0,146900.0,-200.0
670027,1580000.0,343100.0,235300.0,91300.0,-400.0
670029,970000.0,187300.0,59100.0,144000.0,-100.0
670031,1170000.0,391400.0,150100.0,290200.0,-100.0
670033,1260000.0,321100.0,135800.0,16200.0,4000.0
670035,1460000.0,263000.0,167500.0,18900.0,-100.0
670037,1730000.0,258300.0,209300.0,225800.0,2800.0
670039,1170000.0,240200.0,144500.0,63400.0,2500.0
670041,1290000.0,288800.0,156000.0,97800.0,600.0
670043,1500000.0,278700.0,265300.0,114200.0,21900.0
670045,1540000.0,301500.0,250600.0,73100.0,41200.0
670047,830000.0,168400.0,81500.0,83100.0,3100.0
670049,1580000.0,313400.0,230300.0,175400.0,-100.0
670051,1580000.0,374100.0,203600.0,233700.0,-100.0
670053,910000.0,284400.0,114900.0,82500.0,-100.0
670055,1430000.0,330400.0,204300.0,186100.0,600.0
670057,740000.0,195300.0,88500.0,14000.0,-1200.0
670059,1480000.0,356500.0,274000.0,268400.0,0.0
670061,2070000.0,247700.0,288500.0,107800.0,-100.0
670063,2000000.0,225200.0,263700.0,52900.0,3700.0
670065,930000.0,175200.0,35500.0,281100.0,-100.0
670067,1290000.0,245200.0,260500.0,255900.0,-200.0
670069,970000.0,229100.0,157700.0,29000.0,-100.0
670071,1490000.0,259700.0,219400.0,270200.0,2900.0
670073,1100000.0,143000.0,90300.0,52600.0,-600.0
